"Speler","TotaalGewonnenSets"
"Jozef Kovalik","14"
"Martin Klizan","9"
"Steven Diez","10"
"Florian Mayer","8"
"Gleb Sakharov","2"
"Darian King","16"
"John Isner","48"
"Lukas Lacko","30"
"Leonardo Mayer","20"
"Andre Ghem","4"
"Andrew Whittington","12"
"Quentin Halys","2"
"Ti Chen","2"
"Konstantin Kravchuk","5"
"Evgeny Donskoy","16"
"Gerald Melzer","14"
"Matthew Barton","6"
"Christopher O'Connell","4"
"Novak Djokovic","46"
"Jo-Wilfried Tsonga","33"
"Adam Pavlasek","3"
"Alessandro Giannessi","13"
"Yuya Kibi","2"
"Miomir Kecmanovic","2"
"Kimmer Coppejans","2"
"Roberto Quiroz","6"
"Ugo Humbert","2"
"Salvatore Caruso","2"
"Laslo Djere","5"
"Guilherme Clezar","7"
"Marco Cecchinato","12"
"Marton Fucsovics","8"
"Federico Gaio","4"
"Steve Darcis","17"
"Yasutaka Uchiyama","6"
"Roger Federer","95"
"Ivo Karlovic","12"
"Karen Khachanov","30"
"Thomaz Bellucci","21"
"Guido Pella","29"
"Mikhail Youzhny","16"
"Ilya Ivashka","2"
"Gael Monfils","41"
